Продукт	Калорийность, кКал	Белки, г	Жиры, г	Углеводы, г
Пшеничная мука высшего сорта. 13% белка. отбеленная. необогащенная	362.0	13.07	1.38	69.8
Пшеничная мука высшего сорта. 13% белка. отбеленная. обогащенная	362.0	13.07	1.38	69.8
Пшеничная мука высшего сорта. 15% белка. отбеленная. необогащенная	362.0	15.33	1.41	67.48
Пшеничная мука высшего сорта. 15% белка. отбеленная. обогащенная	362.0	15.33	1.41	67.48
Пшеничная мука высшего сорта. 9% белка. отбеленная. необогащенная	367.0	8.89	1.43	74.92
Пшеничная мука высшего сорта. 9% белка. отбеленная. обогащенная	367.0	8.89	1.43	77.32
Пшеничная мука высшего сорта. кондитерская. обогащенная	362.0	8.2	0.86	76.33
Пшеничная мука высшего сорта. смесь для тортильи. обогащенная	405.0	9.66	10.63	67.14
Пшеничная мука высшего сорта. универсальная. необогащенная	364.0	10.33	0.98	73.61
Пшеничная мука высшего сорта. универсальная. обогащенная кальцием	364.0	10.33	0.98	73.61
Пшеничная мука высшего сорта. универсальная. обогащенная. неотбеленная	364.0	10.33	0.98	73.61
Пшеничная мука высшего сорта. универсальная. обогащенная. отбеленная	364.0	10.33	0.98	73.61
Пшеничная мука высшего сорта. универсальная. обогащенная. самоподнимающаяся	354.0	9.89	0.97	71.52
Пшеничная мука высшего сорта. хлебопекарная. обогащенная	361.0	11.98	1.66	70.13
Пшеничная мука цельнозерновая	340.0	13.21	2.5	61.27
Пшеничная мука цельнозерновая из мягкой пшеницы	332.0	9.61	1.95	61.38
Пшеничная мука. второго сорта	324.0	11.7	1.81	63.7
Пшеничная мука. высшего сорта	334.0	10.8	1.3	69.9
Пшеничная мука. высшего сорта. витаминизированная	334.0	10.3	1.1	68.9
Пшеничная мука. обойная	312.0	11.5	2.2	61.5
Пшеничная мука. первого сорта	329.0	11.1	1.5	67.8
Пшеничная мука. первого сорта. витаминизированная	331.0	10.6	1.3	67.6
Пшеничная мука. хлебопекарная. необогащенная	361.0	11.98	1.66	70.13
Пшеничные зародыши. сырые	360.0	23.15	9.72	38.6
Пшеничные отруби	165.0	16.0	3.8	16.6
Пшеничные отруби. сырые	216.0	15.55	4.25	21.71
Пшенная каша по 1-278	109.0	2.8	3.4	16.8
Пшенная крупа. пшено шлифованное	342.0	11.5	3.3	66.5
Пшенная мука	382.0	10.75	4.25	71.62
Пшено (просо) воздушное	354.0	13.0	3.4	77.3
Пшено. приготовленное	119.0	3.51	1.0	22.37
Пшено. сырое	378.0	11.02	4.22	64.35
Ржаная мука. обдирная	298.0	8.9	1.7	61.8
Ржаная мука. обдирная	349.0	10.88	1.52	63.63
Ржаная мука. обойная	294.0	10.7	1.9	58.5
Ржаная мука. обойная	325.0	15.91	2.22	44.83
Ржаная мука. сеяная	305.0	6.9	1.4	66.3
Ржаная мука. сеяная	357.0	9.82	1.33	68.68
Ржаные отруби	114.2	12.2	3.4	8.7
Рис белый длиннозерный. быстроразваривающийся. обогащенный. приготовленный	124.0	2.18	0.5	26.16
Рис белый длиннозерный. быстроразваривающийся. обогащенный. сухой	380.0	7.82	0.94	80.42
Рис белый длиннозерный. обогащенный. приготовленный	130.0	2.69	0.28	27.77
Рис белый длиннозерный. обогащенный. приготовленный с солью	130.0	2.69	0.28	27.77
Рис белый длиннозерный. обогащенный. сухой	365.0	7.13	0.66	78.65
Рис белый длиннозерный. приготовленный без соли	130.0	2.69	0.28	27.77
Рис белый длиннозерный. приготовленный с солью	130.0	2.69	0.28	27.77
Рис белый длиннозерный. пропаренный. обогащенный. приготовленный	123.0	2.91	0.37	25.15
Рис белый длиннозерный. пропаренный. обогащенный. сухой	374.0	7.51	1.03	79.09
Рис белый длиннозерный. пропаренный. приготовленный	123.0	2.91	0.37	25.15
Рис белый длиннозерный. сухой	365.0	7.13	0.66	78.65
Рис белый длиннозерный. сухой	374.0	7.51	1.03	79.09
Рис белый клейкий (азиатский). приготовленный	97.0	2.02	0.19	20.09
Рис белый клейкий (азиатский). сухой	370.0	6.81	0.55	78.88
Рис белый короткозерный. обогащенный. приготовленный	130.0	2.36	0.19	28.73
Рис белый короткозерный. обогащенный. сухой	358.0	6.5	0.52	76.35
Рис белый короткозерный. приготовленный	130.0	2.36	0.19	28.73
Рис белый короткозерный. сухой	358.0	6.5	0.52	79.15
Рис белый приготовленный на пару (Китайская кухня)	151.0	3.2	0.27	32.98
Рис белый среднезерный. обогащенный. приготовленный	130.0	2.38	0.21	28.29
Рис белый среднезерный. обогащенный. сухой	360.0	6.61	0.58	77.94
Рис белый среднезерный. приготовленный	130.0	2.38	0.21	28.59
Рис белый среднезерный. сухой	360.0	6.61	0.58	79.34
Рис белый. крупа рисовая	333.0	7.0	1.0	74.0
Рис дикий (черный. индейский рис. цициания). приготовленный	101.0	3.99	0.34	19.54
Рис дикий (черный. индейский рис. цициания). сухой	357.0	14.73	1.08	68.7
Рис желтый со специями. сухая смесь	343.0	7.02	1.75	72.88
Рис коричневый (нешлифованный) длиннозерный. приготовленный	123.0	2.74	0.97	23.98
Рис коричневый (нешлифованный) длиннозерный. сухой	367.0	7.54	3.2	72.65
Рис коричневый (нешлифованный) среднезерный. приготовленный	112.0	2.32	0.83	21.71
Рис коричневый (нешлифованный) среднезерный. сухой	362.0	7.5	2.68	72.77
Рис коричневый (нешлифованный). пропаренный. приготовленный. UNCLE BENS	147.0	3.09	0.85	29.63
Рис коричневый (нешлифованный). пропаренный. сухой. UNCLE BEN'S	370.0	7.6	2.75	75.18
Рис крем. дроблёный рис быстрорастворимый. приготовленный на воде с солью	52.0	0.9	0.1	11.4
Рис крем. дроблёный рис быстрорастворимый. сухой	370.0	6.3	0.5	81.7
Рис. зерно цельное необработанное	303.0	7.5	2.6	62.3
Рисовая запеканка по 1-288	144.0	4.0	5.6	19.4
Рисовая запеканка с творогом по 1-288	189.0	5.1	7.1	26.1
Рисовая каша по 1-268	144.0	2.4	3.5	25.8
Рисовая лапша. приготовленная	108.0	1.79	0.2	23.01
Рисовая лапша. сухая	364.0	5.95	0.56	78.58
Рисовая мука диетическая	356.0	7.4	0.6	80.2
Рисовая мука. белая	366.0	5.95	1.42	77.73
Рисовая мука. коричневая	363.0	7.23	2.78	71.88
Рисовые отруби. сырые	316.0	13.35	20.85	28.69
Рожь молотая жареная	322.0	7.9	1.7	68.7
Рожь. зерно	338.0	10.34	1.63	60.76
Рожь. зерно цельное необработанное	283.0	9.9	2.2	55.8
Сорго	323.0	10.6	4.12	59.6
Сорго	329.0	10.62	3.46	65.39
Спагетти со шпинатом. приготовленные	130.0	4.58	0.63	26.15
Спагетти со шпинатом. сухие	372.0	13.35	1.57	64.21
Спагетти. обогащенные протеином. приготовленные	164.0	8.86	0.21	28.88
Спагетти. обогащенные протеином. сухие	374.0	21.78	2.23	63.25
Сухой завтрак. MALT-O-MEAL. обычный. сухой	361.0	11.8	1.27	75.6
Сухой завтрак. CREAM OF WHEAT. обычный. приготовленный на воде. без соли	50.0	1.44	0.21	10.52
